plate or well,type,fk,multivalued,include,comment,data_type,total (well),total (plate),plate_types
,,,,n,,"""b"" plate",20,0,GR (20)
,,,,n,,1.5x10E07 cells/ep,0,1,EP (1)
,,,,n,,Attention,0,1,FP (1)
,,,,n,,BAC_comment,0,1,DESIGN (1)
,,,,?,stain matters for promoterless targeting,BLUE_COLONIES,5914,0,EP (5914)
,i,,,y,,COLONIES_PICKED,19680,0,EP (19680)
,s,,y,y,,COMMENTS,11544,0,"PGG (4593), EPD (3235), PGD (1519), GR (978), EP (789), GRQ (328), FP (44), DESIGN (24), GRD (21), PCS (13)"
,,,,n,some weird barry thing froma long time ago,Clone,6971,0,GR (6971)
,,,,n,,Concentration of cells plated,0,2,EP (2)
,,,,n,,DNA plate,0,1,EP (1)
,,,,n,,DNA plates,0,1,EP (1)
,cv,,,y,operational triggers for downstream processing,DNA_QUALITY,10300,0,"PGG (8080), PGD (1958), GRD (262)"
,s,,,y,,DNA_QUALITY_COMMENTS,189,0,GRD (189)
,cv,,,y,,DNA_STATUS,44294,0,"PGG (43363), PGD (546), GRD (385)"
,,,,n,mystery,EPD plate ID,1088,0,REPD (1088)
,,,,n,mystery,EPD well loc,528,0,REPD (528)
,,,,n,,Growth ,61,0,GR (61)
,,,,n,,JM8A3.N1,0,6,EP (6)
,,,,n,,L3L4,46,0,GR (46)
,,,,n,,L3_L4,4456,0,GR (4456)
,,,,n,via auto-upload,NG_UL_DNA,6461,0,"PGD (6048), GRD (386), PGG (27)"
,cv,,,y,,No/Low growth,376,0,GR (376)
,,,,n,,NorCOMM project,0,1,DESIGN (1)
,,,,n,,Number of cells/EP,0,1,EP (1)
,,,,n,,PRELIM_CALL,760,0,GRQ (760)
,,,,n,,Passage number,0,1,EP (1)
,,,,?,stain matters for promoterless targeting,REMAINING_UNSTAINED_COLONIES,13199,0,EP (13199)
,cv,,,y,,Seq_QC_Finished,0,610,"GRQ (379), PGD (231)"
,i,,,y,,TOTAL_COLONIES,19873,0,EP (19873)
,,,,n,,Time Constants,0,1,EP (1)
,,,,n,,Time Constants (ms),0,1,EP (1)
,,,,n,,Time constant,0,2,EP (2)
,,,,n,,Time_constants,0,1,EP (1)
,,,,n,via auto-upload,UG_DNA,6553,0,"PGD (6140), GRD (386), PGG (27)"
,,,,n,via auto-upload,VOL_DNA,6140,0,PGD (6140)
,,,,n,via auto-upload,VOL_MIX,6048,0,PGD (6048)
,,,,n,via auto-upload,VOL_WATER,6140,0,PGD (6140)
,,,,?,,WHITE_COLONIES,6499,0,EP (6499)
,,,,n,,[Data type],0,36,"EPD (19), PGD (6), PCS (4), PGG (3), GRQ (2), EP (2)"
,s,,,y,,allele_name,150161,0,EPD (150161)
,,,,,,alternate_clone_recovery,0,336,GRQ (336)
,cv,,,y,important to everything,apply_cre,0,1,PGD (1)
,s,,,y,,archive_label,0,2784,"PGD (2516), PCS (268)"
,s,,,y,,archive_quadrant,0,2747,"PGD (2479), PCS (268)"
,cv,,,y,"currently on plate, should be inferred from design on well",artificial_intron_appends,0,2,DESIGN (2)
,,,,n,,assigned_cnr,4,0,EPD (4)
,,,,n,,assigned_gsf,4,0,EPD (4)
